country;year;iso_code;population;gdp;coal_cons_change_pct;coal_cons_change_twh;coal_cons_per_capita;coal_consumption;coal_elec_per_capita;coal_electricity;coal_prod_change_pct;coal_prod_change_twh;coal_prod_per_capita;coal_production;coal_share_elec;coal_share_energy;electricity_demand;electricity_generation;electricity_share_energy;energy_cons_change_pct;energy_cons_change_twh;energy_per_capita;energy_per_gdp
Russia;1985;RUS;142896384;1.80E+12;0;0;16122.767;2303.885;968.202;138.353;0;0;15122.285;2160.92;14.382;24.111;0;962;10.068;0;0;66867.602;5.321
Russia;1986;RUS;144046480;1.84E+12;2.716;62.576;16428.453;2366.461;999.946;144.039;3.427;74.057;15515.664;2234.977;14.384;24.335;0;1001.4;10.298;1.772;169.317;67509.156;5.284
Russia;1987;RUS;145312016;1.84E+12;1.526;36.103;16533.83;2402.564;1029.463;149.593;0.811;18.115;15505.201;2253.092;14.284;23.924;0;1047.3;10.429;3.272;318.169;69110.766;5.462
Russia;1988;RUS;146464384;1.87E+12;-1.476;-35.462;16161.621;2367.102;1034.388;151.501;3.213;72.402;15877.542;2325.494;14.219;23.166;0;1065.5;10.428;1.747;175.436;69764.812;5.47
Russia;1989;RUS;147341504;1.88E+12;-3.305;-78.234;15534.438;2288.867;1042.487;153.602;-3.806;-88.514;15182.28;2236.98;14.269;22.318;0;1076.5;10.496;0.37;37.769;69605.836;5.452
Russia;1990;RUS;148005696;1.83E+12;-7.368;-168.654;14325.215;2120.213;1059.788;156.855;-3.527;-78.904;14581.033;2158.076;14.494;21.042;0;1082.2;10.74;-1.752;-179.727;68079.156;5.491
Russia;1991;RUS;148455408;1.78E+12;-8.362;-177.302;13087.506;1942.911;1042.306;154.736;-8.039;-173.491;13368.221;1984.585;14.486;19.549;0;1068.163;10.748;-1.364;-137.46;66946.992;5.591
Russia;1992;RUS;148725600;1.56E+12;-6.032;-117.204;12275.671;1825.707;1036.213;154.111;-4.108;-81.519;12795.819;1903.066;15.282;19.084;0;1008.45;10.541;-3.743;-372.023;64323.957;6.152
Russia;1993;RUS;148897280;1.45E+12;-9.741;-177.837;11067.158;1647.87;996.604;148.392;-9.813;-186.749;11526.851;1716.317;15.513;18.476;0;956.587;10.725;-6.768;-647.488;59901.234;6.153
Russia;1994;RUS;148829120;1.30E+12;-12.54;-206.645;9683.758;1441.225;1091.754;162.485;-11.002;-188.835;10263.326;1527.482;18.55;17.709;0;875.914;10.763;-8.753;-780.707;54683.012;6.282
Russia;1995;RUS;148557456;1.27E+12;-3.669;-52.88;9345.514;1388.346;1079.017;160.296;-5.045;-77.062;9763.356;1450.419;18.638;18.026;0;860.027;11.166;-5.362;-436.391;51845.484;6.062
Russia;1996;RUS;148233408;1.25E+12;-1.852;-25.709;9192.509;1362.637;1083.633;160.631;-3.122;-45.283;9479.217;1405.137;18.961;18.381;0;847.183;11.428;-3.75;-288.831;50010.332;5.908
